A01nficha;A01uf;idade_calculada;E03;E05;id_genero
8546;53;14;1;1;99999
8546;53;10;2;1;99999
8553;53;60;1;4;1
8553;53;46;2;1;1
8553;53;17;2;1;99999
8563;53;51;2;4;1
8563;53;19;1;1;1
8563;53;17;2;1;99999
8573;53;46;1;4;1
8573;53;47;2;1;1
8573;53;26;1;1;1
8573;53;21;1;1;1
8573;53;24;2;1;1
8573;53;6;2;1;99999
8573;53;20;2;4;1
8601;53;42;1;4;1
8601;53;40;2;4;1
8607;53;37;2;4;1
8607;53;44;1;2;1
8607;53;17;1;4;99999
8607;53;15;2;4;99999
8630;53;76;1;1;1
8630;53;53;2;1;1
8630;53;15;1;1;99999
8692;53;51;1;1;2
8692;53;62;1;4;1
8695;53;36;1;1;1
8702;53;50;2;4;1
8702;53;55;1;1;1
8702;53;24;1;1;1
8708;53;65;1;4;1
8708;53;61;2;4;1
8708;53;20;1;4;1
8738;53;54;2;4;1
8738;53;55;1;1;1
8738;53;21;2;4;1
8738;53;17;2;1;99999
8755;53;53;2;4;1
8755;53;63;1;4;1
8768;53;52;1;4;1
8768;53;32;2;1;1
8768;53;14;2;1;99999
8775;53;57;1;4;1
8775;53;50;2;4;1
8822;53;28;2;1;1
8822;53;28;1;1;1
8870;53;61;1;4;1
8876;53;46;1;1;1
8876;53;42;2;1;1
8876;53;8;1;1;99999
8876;53;16;2;1;99999
8908;53;41;1;2;1
8920;53;79;2;1;1
8947;53;73;2;1;1
8947;53;69;2;1;1
8947;53;31;2;2;1
8950;53;31;2;1;1
8950;53;43;1;1;1
8966;53;59;1;1;1
8966;53;56;2;4;1
8966;53;27;2;1;1
8966;53;18;2;1;1
8966;53;16;1;2;99999
8975;53;43;2;4;1
8975;53;17;1;4;99999
8975;53;13;2;4;99999
8975;53;10;2;1;99999
8975;53;1;1;4;99999
8998;53;60;1;1;1
8998;53;51;2;2;1
8998;53;23;2;1;1
8998;53;19;1;1;1
8998;53;2;1;1;99999
9138;53;24;2;1;1
9138;53;26;1;2;1
9146;53;45;1;1;1
9146;53;40;2;1;1
9146;53;14;1;1;99999
9146;53;17;2;1;99999
9147;53;63;2;4;1
9147;53;18;1;4;1
9150;53;59;2;1;1
9150;53;19;2;1;1
9150;53;9;2;1;99999
9156;53;26;1;1;1
9156;53;56;2;1;1
9156;53;46;1;2;1
9197;53;49;1;1;1
9197;53;42;2;1;1
9197;53;21;1;1;1
9197;53;19;2;1;1
9198;53;72;1;2;1
9198;53;61;2;1;1
9225;53;60;2;4;1
9225;53;19;1;4;1
9225;53;16;1;1;99999
9231;53;48;2;4;1
9231;53;49;2;2;1
9287;53;48;1;4;1
9287;53;29;2;2;1
9287;53;2;2;2;99999
9291;53;44;1;4;1
9291;53;37;2;1;1
9291;53;17;1;1;99999
9291;53;8;2;4;99999
9304;53;38;1;1;1
9304;53;28;2;1;1
9304;53;59;2;1;1
9304;53;4;2;4;99999
9361;53;31;1;4;1
9361;53;29;1;1;1
9362;53;42;1;4;1
9362;53;43;2;1;1
9362;53;3;1;1;99999
9362;53;13;2;1;99999
9412;53;50;1;2;1
9412;53;54;2;1;1
9412;53;19;2;1;1
9416;53;34;1;1;1
9416;53;19;2;4;1
9496;53;67;2;1;1
9496;53;31;1;1;1
9496;53;33;2;1;1
9496;53;32;1;1;1
9498;53;74;2;1;1
9498;53;72;1;1;1
9498;53;35;1;1;1
9535;53;69;1;1;1
9535;53;62;2;1;1
9535;53;42;1;1;1
9593;53;27;1;4;1
9593;53;26;2;4;2
9598;53;67;2;4;1
9617;53;48;1;1;1
9617;53;70;1;1;1
9622;53;47;1;1;1
9622;53;74;2;1;1
9651;53;53;1;4;1
9651;53;47;2;4;1
9651;53;19;2;4;1
9651;53;10;2;4;99999
9658;53;53;1;4;1
9658;53;19;1;4;1
9664;53;51;1;4;1
9664;53;17;1;1;99999
9673;53;36;2;4;1
9673;53;44;1;4;1
9688;53;65;1;4;1
9688;53;54;2;1;1
9708;53;41;2;1;1
9714;53;25;2;4;1
9735;53;37;2;4;1
9735;53;36;1;2;1
9763;53;74;2;4;1
9769;53;100;2;1;1
9778;53;48;2;1;1
9778;53;29;2;1;1
9778;53;10;2;1;99999
9778;53;29;2;2;1
9806;53;25;2;1;1
9806;53;28;1;1;1
9806;53;6;1;4;99999
9806;53;3;2;1;99999
9814;53;59;1;2;1
9814;53;59;2;1;1
9814;53;90;2;4;1
9821;53;35;2;1;1
9821;53;40;1;4;1
9821;53;1;1;4;99999
9822;53;40;1;4;1
9822;53;36;2;1;1
9822;53;13;1;1;99999
9822;53;10;2;1;99999
9845;53;23;2;4;1
9845;53;85;2;1;99999
9845;53;42;1;4;99999
9848;53;16;1;4;99999
9848;53;38;2;4;1
9849;53;22;1;4;1
9849;53;10;1;5;99999
9849;53;41;2;5;1
9850;53;43;2;4;1
9850;53;42;1;4;1
9850;53;10;2;4;99999
9852;53;56;2;4;1
9852;53;61;1;1;1
9856;53;47;2;1;1
9856;53;50;1;4;1
9856;53;28;1;4;1
9856;53;21;1;1;1
9856;53;15;1;4;99999
9856;53;11;2;1;99999
9872;53;36;1;4;1
9872;53;36;2;2;1
9872;53;8;1;4;99999
9872;53;11;1;2;99999
9872;53;3;1;2;99999
9874;53;30;2;4;1
9874;53;9;1;1;99999
9874;53;3;1;4;99999
9882;53;88;1;4;1
9934;53;54;1;4;1
9934;53;54;2;1;1
9955;53;54;2;1;1
9961;53;57;1;2;1
9961;53;55;2;1;1
9961;53;28;1;4;1
9961;53;21;2;1;1
9961;53;17;2;4;99999
9976;53;33;2;1;1
10045;53;49;2;1;1
10053;53;65;2;4;1
10053;53;42;2;4;1
10053;53;9;2;4;99999
10053;53;7;2;1;99999
10062;53;52;2;4;1
10062;53;12;2;4;99999
10078;53;27;2;4;1
10078;53;10;1;1;99999
10078;53;6;2;1;99999
10098;53;50;2;1;1
10098;53;52;1;1;1
10110;53;52;1;2;1
10110;53;53;2;1;1
10110;53;23;2;4;1
10110;53;21;1;1;1
10110;53;18;2;4;1
10137;53;84;1;1;1
10137;53;75;2;4;1
10137;53;43;1;1;1
10137;53;42;2;1;1
10137;53;5;1;4;99999
10189;53;51;1;4;1
10189;53;22;2;4;1
10191;53;54;1;4;1
10191;53;55;2;4;1
10191;53;35;1;4;1
10191;53;12;1;4;99999
10195;53;43;2;4;1
10195;53;21;1;4;1
10195;53;28;2;4;1
10195;53;10;2;4;99999
10200;53;75;1;4;1
10200;53;72;2;1;1
10231;53;26;2;1;1
10231;53;58;1;1;1
10232;53;52;1;2;1
10232;53;41;2;2;1
10232;53;11;2;2;99999
10232;53;22;1;2;1
10237;53;39;1;1;1
10237;53;39;2;4;1
10237;53;11;2;4;99999
10265;53;61;1;2;1
10265;53;44;2;1;1
10265;53;18;2;1;1
10302;53;85;2;1;1
10302;53;29;2;1;1
10324;53;68;1;1;1
10324;53;63;2;1;1
10343;53;75;2;1;1
10343;53;46;2;1;1
10344;53;60;1;1;1
10344;53;50;1;1;1
10344;53;33;2;4;1
10349;53;35;2;4;1
10349;53;18;1;4;1
10349;53;1;1;4;99999
10349;53;48;1;1;1
10357;53;70;1;1;1
10357;53;67;2;1;1
10357;53;37;1;1;1
10357;53;42;2;1;1
10371;53;45;2;4;1
10371;53;38;1;4;1
10371;53;19;1;4;1
10371;53;12;2;1;99999
10420;53;85;2;1;1
10420;53;62;1;1;1
10454;53;69;2;1;1
10455;53;38;2;4;1
10467;53;41;2;4;1
10467;53;10;1;4;99999
10467;53;7;1;4;99999
10467;53;5;1;4;99999
10484;53;43;1;2;1
10497;53;33;1;2;1
10497;53;24;2;2;1
10497;53;5;1;4;99999
10525;53;71;1;1;1
10525;53;52;2;1;1
10581;53;46;1;4;1
10581;53;66;2;1;1
10585;53;59;2;4;1
10585;53;57;1;4;1
10585;53;31;2;4;1
10600;53;18;2;5;1
10600;53;19;1;5;1
10631;53;26;1;4;1
10631;53;25;2;2;1
10631;53;4;2;1;99999
10647;53;49;2;4;1
10647;53;41;1;4;1
10647;53;11;1;4;99999
10647;53;4;1;4;99999
10651;53;55;1;1;1
10657;53;57;2;1;1
10657;53;71;1;1;1
10657;53;14;1;1;99999
10660;53;40;2;4;1
10660;53;33;2;2;1
10660;53;16;2;1;99999
10685;53;45;1;4;1
10685;53;40;2;4;1
10685;53;14;2;4;99999
10685;53;7;1;4;99999
10688;53;41;2;2;1
10688;53;21;2;4;1
10695;53;48;1;1;1
10695;53;45;2;2;1
10695;53;21;1;4;1
10695;53;15;2;4;99999
10728;53;67;1;1;1
10794;53;38;1;2;1
10797;53;32;2;1;1
10797;53;17;2;4;99999
10797;53;22;1;1;1
10797;53;19;1;4;1
10797;53;9;2;1;99999
10811;53;42;1;4;1
10811;53;44;2;4;1
10811;53;16;1;4;99999
10835;53;79;2;4;1
10835;53;35;2;4;1
10835;53;15;2;4;99999
10845;53;65;2;1;1
10846;53;31;1;4;1
10846;53;24;1;4;1
10865;53;52;1;1;1
10865;53;46;2;2;1
10865;53;22;1;1;1
10917;53;39;1;4;1
10917;53;38;2;2;3
10917;53;16;1;4;99999
10917;53;1;1;1;99999
10921;53;49;2;4;1
10921;53;24;1;4;1
10939;53;30;1;4;1
10939;53;32;2;1;1
10975;53;58;1;4;1
10975;53;50;2;1;1
10975;53;30;1;4;1
10984;53;34;1;4;1
10984;53;39;2;4;1
10992;53;19;2;4;1
10992;53;18;1;1;1
10992;53;0;1;4;99999
10996;53;51;1;1;1
10996;53;48;2;4;1
10996;53;25;2;4;1
10996;53;4;2;1;99999
10997;53;58;2;1;1
11036;53;56;2;4;1
11039;53;69;1;2;1
11048;53;47;2;1;1
11071;53;36;2;4;1
11071;53;42;1;4;1
11071;53;0;2;1;99999
11090;53;32;2;4;1
11115;53;61;2;1;1
11115;53;40;1;4;1
11115;53;18;1;4;1
11115;53;15;1;1;99999
11122;53;52;2;4;1
11122;53;50;2;4;1
11122;53;15;1;4;99999
11125;53;36;2;4;1
11125;53;33;1;1;1
11153;53;65;1;1;1
11153;53;60;2;4;1
11163;53;54;1;2;1
11185;53;53;1;4;1
11185;53;49;2;1;1
11185;53;10;1;1;99999
11208;53;48;1;4;1
11208;53;40;2;1;1
11208;53;20;1;4;1
11208;53;15;1;4;99999
11208;53;1;2;4;99999
11218;53;59;1;1;1
11218;53;54;2;1;1
11218;53;18;2;1;1
11223;53;34;1;4;1
11223;53;34;2;4;1
11224;53;38;2;1;1
11227;53;64;2;4;1
11227;53;34;1;4;1
11268;53;16;2;2;99999
11268;53;60;1;4;1
11268;53;45;2;2;1
11278;53;60;2;1;1
11278;53;28;2;1;1
11278;53;7;1;1;99999
11279;53;54;1;2;1
11279;53;47;2;1;1
11285;53;56;1;1;1
11285;53;56;2;1;1
11330;53;45;2;4;1
11330;53;49;1;4;1
11330;53;14;2;4;99999
11332;53;46;1;4;1
11332;53;41;2;4;1
11332;53;15;2;4;99999
11332;53;6;1;4;99999
11342;53;72;2;4;1
11343;53;71;2;2;1
11343;53;37;2;4;1
11343;53;4;1;1;99999
11349;53;40;2;1;1
11349;53;13;2;1;99999
11349;53;7;2;1;99999
11361;53;61;2;4;1
11361;53;80;1;4;1
11361;53;21;1;4;1
11372;53;62;2;4;1
11372;53;28;2;4;1
11372;53;29;1;4;1
11372;53;11;2;4;99999
11387;53;43;1;4;1
11387;53;37;2;4;1
11387;53;7;2;4;99999
11387;53;4;1;4;99999
11402;53;70;2;4;1
11440;53;43;2;1;1
11440;53;52;1;1;1
11440;53;13;1;1;99999
11441;53;26;1;2;1
11441;53;70;1;2;1
11441;53;65;2;1;1
11450;53;74;1;1;1
11450;53;73;2;4;1
11450;53;38;2;1;1
11456;53;65;2;4;1
11456;53;42;2;4;1
11456;53;16;2;2;99999
11456;53;10;1;1;99999
11487;53;24;1;4;1
11487;53;22;2;4;1
11487;53;1;1;4;99999
11494;53;78;1;3;1
11501;53;30;1;4;1
11501;53;26;2;4;1
11501;53;0;1;4;99999
11512;53;59;2;1;1
11512;53;37;1;1;1
11526;53;33;1;1;1
11540;53;58;2;4;1
11540;53;60;1;4;1
11558;53;60;1;4;1
11558;53;51;2;4;1
11558;53;20;1;4;1
11558;53;25;2;4;1
11581;53;25;2;4;1
11581;53;21;1;4;1
11581;53;4;1;1;99999
11581;53;2;2;1;99999
11581;53;7;2;4;99999
11585;53;43;1;4;1
11585;53;42;2;2;1
11585;53;6;1;2;99999
11585;53;5;1;1;99999
11587;53;57;1;4;1
11587;53;51;2;4;1
11587;53;27;2;4;1
11587;53;22;1;4;1
11620;53;40;1;4;1
11620;53;44;2;2;1
11620;53;20;2;2;1
11629;53;34;1;4;1
11629;53;29;2;1;1
11656;53;45;2;1;1
11656;53;72;2;4;1
11656;53;3;1;4;99999
11771;53;23;1;4;1
11771;53;23;2;1;1
11771;53;1;1;1;99999
11772;53;55;2;1;1
11772;53;24;1;1;1
11772;53;24;1;1;1
11772;53;21;2;1;1
11772;53;2;2;4;99999
11803;53;47;2;4;1
11803;53;50;1;4;1
11803;53;18;2;4;1
11803;53;86;2;4;1
11820;53;58;1;4;1
11820;53;49;2;1;1
11857;53;42;2;5;1
11857;53;12;1;5;99999
11857;53;6;2;1;99999
11883;53;59;2;1;1
11912;53;46;2;1;1
11912;53;19;1;4;1
11927;53;56;2;4;1
11927;53;42;2;4;1
11927;53;23;2;4;1
11927;53;19;2;4;1
11927;53;21;2;4;1
11927;53;12;1;4;99999
11927;53;8;1;4;99999
11927;53;4;2;4;99999
11927;53;0;1;4;99999
12002;53;38;2;1;1
12002;53;46;1;1;1
12002;53;4;2;1;99999
12012;53;33;2;4;1
12012;53;32;1;4;1
12012;53;72;2;4;1
12012;53;79;1;4;1
12033;53;21;2;2;1
12037;53;30;1;2;1
12037;53;24;2;4;1
12049;53;55;2;1;1
12049;53;79;1;1;1
12049;53;78;2;1;1
12123;53;23;2;1;1
12123;53;23;1;2;1
12123;53;0;1;2;99999
12124;53;45;2;4;1
12124;53;47;1;4;1
12134;53;48;2;4;1
12134;53;44;1;4;1
12151;53;45;2;4;1
12151;53;54;1;1;1
12151;53;10;1;1;99999
12180;53;52;1;1;1
12180;53;49;2;2;1
12180;53;19;1;4;1
12196;53;55;1;4;1
12217;53;86;1;4;1
12217;53;82;2;1;1
12217;53;41;2;4;1
12217;53;12;2;1;99999
12217;53;8;2;1;99999
12263;53;48;1;3;1
12263;53;76;2;1;1
12263;53;45;2;1;1
12267;53;24;1;2;1
12282;53;69;1;4;1
12282;53;67;2;4;1
12289;53;81;1;1;1
12289;53;73;2;2;1
12289;53;39;1;4;1
12289;53;29;2;4;1
12289;53;30;1;1;1
12289;53;2;1;1;99999
12298;53;83;2;1;1
12313;53;69;2;1;1
12313;53;96;2;1;1
12344;53;48;1;2;1
12344;53;42;2;2;1
12344;53;23;1;4;1
12344;53;11;2;2;99999
12344;53;8;2;2;99999
12405;53;55;1;4;1
12409;53;60;2;1;1
12425;53;60;2;4;1
12425;53;55;1;2;1
12425;53;37;2;4;1
12425;53;19;1;4;1
12425;53;14;2;4;99999
12447;53;58;2;4;1
12447;53;68;1;4;1
12447;53;30;2;4;1
12455;53;42;1;4;1
12455;53;62;2;4;1
12455;53;22;1;4;1
12455;53;24;1;4;1
12518;53;14;2;4;99999
12518;53;33;2;4;1
12518;53;12;2;4;99999
12541;53;76;1;2;1
12565;53;73;2;1;1
12575;53;61;2;1;1
12575;53;31;2;1;1
12575;53;71;1;4;1
12587;53;58;2;4;1
12587;53;18;1;4;1
12587;53;16;2;4;99999
12587;53;14;2;4;99999
12588;53;66;2;1;1
12607;53;59;2;1;1
12628;53;70;2;1;1
12628;53;41;1;4;1
12630;53;37;2;4;1
12630;53;35;1;4;1
12630;53;15;1;4;99999
12630;53;5;1;4;99999
12667;53;51;1;1;1
12667;53;61;2;4;1
12667;53;24;1;4;1
12667;53;22;1;1;1
12689;53;64;1;1;1
12704;53;53;2;4;1
12704;53;17;1;4;99999
12704;53;32;1;2;1
12704;53;33;2;4;1
12704;53;9;1;4;99999
12704;53;6;2;4;99999
12753;53;49;1;4;1
12753;53;50;2;4;1
12753;53;29;2;4;1
12753;53;14;2;4;99999
12753;53;18;2;4;1
12753;53;23;2;4;1
12756;53;50;1;1;1
12756;53;45;2;1;1
12756;53;21;1;1;1
12756;53;26;2;1;1
12772;53;46;2;1;1
12772;53;15;1;1;99999
12781;53;44;2;4;1
12781;53;46;1;1;1
12781;53;10;2;1;99999
12781;53;7;2;4;99999
12796;53;43;1;1;1
12796;53;45;2;1;1
12796;53;16;1;4;99999
12796;53;15;1;4;99999
12809;53;55;2;2;1
12809;53;56;1;2;1
12841;53;52;2;1;1
12841;53;23;2;1;1
12841;53;5;1;1;99999
12856;53;27;2;4;1
12856;53;26;2;1;1
12901;53;52;2;4;1
12901;53;54;1;2;1
12912;53;46;1;1;1
12912;53;46;2;1;1
12913;53;50;1;4;1
12913;53;55;2;1;1
12913;53;32;2;1;1
12913;53;17;2;1;99999
12922;53;68;2;1;1
12971;53;60;2;4;1
12971;53;21;2;4;1
13003;53;53;1;1;1
13003;53;45;2;1;1
13003;53;15;1;1;99999
13010;53;53;2;1;1
13010;53;58;1;4;1
13010;53;25;1;2;1
13038;53;47;1;4;1
13038;53;40;2;1;1
13038;53;16;1;4;99999
13038;53;15;1;1;99999
13038;53;13;2;1;99999
13038;53;6;1;1;99999
13043;53;37;2;4;1
13043;53;42;1;4;1
13043;53;12;1;2;99999
13043;53;1;1;1;99999
13053;53;78;2;4;1
13053;53;80;1;4;1
13073;53;36;1;1;1
13073;53;36;2;1;1
13073;53;5;1;1;99999
13073;53;2;2;1;99999
13091;53;32;1;1;1
13091;53;31;2;1;1
13091;53;2;1;1;99999
13153;53;50;1;2;1
13153;53;50;2;1;1
13153;53;16;1;1;99999
13160;53;62;1;1;1
13160;53;49;2;1;1
13160;53;3;1;1;99999
13179;53;30;1;1;1
13215;53;44;2;1;1
13215;53;70;1;1;1
13215;53;14;1;1;99999
13228;53;58;2;2;1
13228;53;59;1;2;1
13228;53;23;1;2;1
13241;53;43;1;4;1
13252;53;55;2;1;1
13252;53;32;1;1;1
13252;53;16;1;4;99999
13255;53;40;1;4;1
13255;53;41;2;4;1
13255;53;7;1;4;99999
13255;53;5;2;4;99999
13279;53;36;1;1;1
13279;53;36;2;4;1
13279;53;11;2;1;99999
13290;53;34;1;1;1
13290;53;31;2;4;1
13290;53;27;2;1;1
13290;53;1;2;1;99999
13306;53;26;2;4;1
13306;53;28;1;2;1
13306;53;0;1;4;99999
13308;53;37;2;4;1
13308;53;51;1;4;1
13319;53;50;2;4;1
13319;53;47;1;4;1
13319;53;29;1;4;1
13319;53;20;2;4;1
13319;53;0;2;1;99999
13338;53;26;2;4;1
13338;53;1;2;4;99999
13354;53;68;2;1;1
13354;53;71;1;4;1
13369;53;49;1;1;1
13369;53;42;2;4;1
13369;53;15;2;4;99999
13369;53;14;2;4;99999
13369;53;6;2;1;99999
13377;53;40;2;2;1
13377;53;9;1;2;99999
13377;53;15;1;2;99999
13377;53;59;2;2;1
13377;53;31;2;2;1
13377;53;30;1;2;1
13383;53;68;1;1;1
13383;53;67;2;1;1
13423;53;23;2;1;1
13423;53;27;1;1;1
13457;53;28;2;4;1
13457;53;32;1;2;1
13457;53;6;2;1;99999
13457;53;3;2;2;99999
13458;53;39;1;4;1
13458;53;38;1;4;1
13458;53;27;2;4;1
13480;53;66;2;4;1
13480;53;63;2;4;1
13500;53;61;1;1;1
13508;53;73;2;1;1
13508;53;50;1;2;1
13521;53;34;1;4;1
13521;53;35;2;4;1
13521;53;3;1;4;99999
13528;53;33;2;2;1
13528;53;56;1;2;1
13528;53;52;2;4;1
13528;53;28;1;2;1
13528;53;5;1;2;99999
13556;53;60;2;1;1
13556;53;68;1;1;1
13568;53;60;1;4;1
13568;53;22;1;4;1
13568;53;19;2;4;1
13591;53;32;2;4;1
13591;53;9;1;4;99999
13592;53;59;1;2;1
13592;53;45;2;4;1
13592;53;8;1;4;99999
13610;53;81;2;1;1
13610;53;41;1;1;1
13610;53;64;2;4;1
13639;53;32;1;1;1
13639;53;29;2;1;1
13645;53;30;1;1;1
13651;53;57;1;4;1
13651;53;23;2;1;1
13674;53;54;2;4;1
13683;53;53;1;4;2
13683;53;21;1;4;1
13707;53;53;2;4;1
13707;53;28;2;1;1
13707;53;25;2;4;1
13707;53;13;2;1;99999
13718;53;53;2;4;1
13718;53;20;1;1;1
13718;53;19;1;2;1
13718;53;17;1;1;99999
13722;53;68;2;1;1
13722;53;37;1;1;1
13742;53;57;2;4;1
13742;53;22;1;4;1
13742;53;26;2;4;1
13750;53;42;1;2;1
13750;53;45;2;1;1
13750;53;16;1;2;99999
13750;53;18;2;4;1
13750;53;10;2;4;99999
13750;53;7;1;1;99999
13754;53;41;2;4;1
13754;53;49;2;4;1
13754;53;25;1;4;1
13754;53;14;2;4;99999
13787;53;56;2;2;1
13787;53;43;1;4;1
13787;53;27;2;4;1
13787;53;30;1;2;1
13796;53;50;2;1;1
13796;53;47;1;1;1
13796;53;19;2;4;1
13796;53;15;2;1;99999
13818;53;53;2;1;1
13818;53;23;1;2;1
13818;53;23;2;1;1
13826;53;53;1;2;1
13826;53;44;2;4;1
13830;53;20;2;4;1
13830;53;50;2;4;1
13839;53;34;1;1;1
13839;53;36;2;2;1
13839;53;5;1;1;99999
13849;53;61;2;1;1
13866;53;39;1;1;1
13866;53;42;1;1;1
13879;53;85;1;1;1
13879;53;82;2;1;1
13891;53;50;1;4;1
13891;53;0;2;1;99999
13891;53;18;1;1;1
13911;53;52;2;4;1
13911;53;60;1;1;1
13928;53;52;2;4;1
13928;53;17;2;4;99999
13936;53;60;2;1;1
13936;53;58;1;4;1
13936;53;29;1;4;1
13954;53;58;2;2;1
13954;53;30;2;2;1
13954;53;24;2;4;1
13954;53;22;1;4;1
13954;53;10;1;1;99999
13954;53;1;1;1;99999
13980;53;30;2;2;1
13980;53;55;2;2;1
13980;53;26;2;2;1
13980;53;4;1;1;99999
13981;53;42;1;4;1
13981;53;40;2;4;1
13981;53;6;1;4;99999
13981;53;3;2;4;99999
13993;53;37;1;1;1
13993;53;35;2;1;1
13993;53;10;2;1;99999
14007;53;25;2;1;1
14007;53;21;2;1;1
14022;53;81;1;1;1
14022;53;76;2;1;1
14024;53;50;2;2;1
14024;53;50;1;1;1
14024;53;26;1;4;1
14024;53;26;2;4;1
14024;53;3;2;1;99999
14040;53;38;1;4;1
14040;53;37;2;4;1
14044;53;41;1;4;1
14044;53;39;2;4;1
14044;53;5;2;4;99999
14128;53;40;1;4;1
14128;53;36;2;4;1
14132;53;19;2;4;1
14132;53;40;2;2;1
14132;53;20;2;4;1
14132;53;3;2;4;99999
14146;53;37;2;4;1
14146;53;40;1;3;1
14146;53;20;1;1;1
14146;53;11;2;3;99999
14146;53;3;2;1;99999
14153;53;36;1;2;1
14153;53;40;2;1;1
14153;53;65;2;2;1
14153;53;12;2;2;99999
14164;53;42;1;4;1
14164;53;42;2;1;1
14164;53;9;2;1;99999
14164;53;1;1;1;99999
14174;53;47;2;1;1
14174;53;29;1;1;1
14174;53;25;1;4;1
14174;53;19;2;1;1
14174;53;13;2;2;99999
14174;53;9;1;1;99999
14174;53;6;2;1;99999
14185;53;22;1;4;1
14185;53;21;2;1;1
14188;53;38;1;1;1
14188;53;45;2;2;1
14190;53;53;2;4;1
14190;53;27;1;1;1
14192;53;45;1;4;1
14192;53;34;2;4;1
14216;53;54;2;1;1
14216;53;34;1;3;1
14216;53;35;2;4;1
14216;53;14;2;1;99999
14216;53;8;1;1;99999
14238;53;43;1;1;1
14238;53;35;2;1;1
14239;53;38;2;1;1
14283;53;50;1;4;1
14283;53;50;2;4;1
14283;53;26;1;4;1
14293;53;69;1;1;2
14293;53;47;1;1;1
14299;53;40;2;4;1
14299;53;14;2;4;99999
14318;53;27;2;4;1
14318;53;4;2;4;99999
14318;53;6;2;4;99999
14319;53;66;2;1;1
14319;53;99;2;1;1
14343;53;51;1;1;1
14343;53;42;2;1;1
14343;53;12;1;1;99999
14343;53;1;2;1;99999
14347;53;64;2;4;1
14353;53;89;2;1;1
14356;53;64;1;4;1
14356;53;58;2;4;1
14413;53;48;1;4;1
14413;53;43;2;2;1
14413;53;16;1;2;99999
14413;53;14;1;2;99999
14462;53;58;2;1;1
14462;53;67;1;1;1
14465;53;39;2;4;1
14465;53;19;1;4;1
14465;53;15;2;4;99999
14466;53;61;1;1;1
14466;53;59;2;1;1
14466;53;36;2;1;1
14477;53;52;2;4;1
14477;53;28;1;1;1
14477;53;27;2;1;1
14477;53;80;2;1;1
14477;53;3;2;1;99999
14499;53;64;2;4;1
14499;53;60;1;4;1
14504;53;75;2;4;1
14504;53;79;1;4;1
14524;53;42;2;4;1
14524;53;23;2;4;1
14556;53;45;2;3;1
14556;53;5;1;3;99999
14654;53;51;1;3;1
14654;53;50;2;2;1
14654;53;30;2;1;1
14659;53;69;2;4;1
14659;53;50;2;1;1
14659;53;45;2;4;1
14659;53;16;1;1;99999
14683;53;55;2;4;1
14683;53;52;1;4;1
14683;53;13;1;4;99999
14683;53;9;2;4;99999
14694;53;58;2;1;1
14694;53;66;1;1;1
14716;53;50;1;1;1
14716;53;46;2;1;1
14716;53;8;1;2;99999
14716;53;8;1;2;99999
14727;53;41;1;1;1
14727;53;39;2;1;1
14727;53;4;2;1;99999
14727;53;6;2;1;99999
14741;53;40;2;1;1
14741;53;39;1;1;1
14741;53;9;1;1;99999
14759;53;50;2;1;1
14759;53;53;1;4;1
14771;53;46;1;2;1
14771;53;49;2;4;1
14780;53;47;2;4;1
14780;53;24;1;4;1
14797;53;45;2;4;1
14797;53;8;1;4;99999
14806;53;28;2;1;1
14806;53;24;1;2;1
14806;53;12;1;1;99999
14889;53;24;2;4;1
14889;53;23;1;1;1
14889;53;0;2;1;99999
14889;53;28;1;1;1
14901;53;65;1;1;1
14901;53;63;2;1;1
14901;53;40;1;1;1
14901;53;13;2;1;99999
14909;53;25;1;4;1
14909;53;27;2;4;1
14941;53;51;2;4;1
14941;53;23;1;2;1
14951;53;37;2;4;1
14951;53;41;1;2;1
14951;53;19;1;2;1
14951;53;11;1;2;99999
14951;53;0;2;4;99999
14963;53;41;2;1;1
14963;53;18;1;1;1
14963;53;2;1;4;99999
14969;53;45;1;4;1
14969;53;41;2;4;1
14969;53;22;1;4;1
14969;53;15;1;4;99999
15007;53;82;1;4;1
15007;53;78;2;1;1
15007;53;27;1;1;1
15007;53;65;2;4;1
15073;53;63;2;1;1
15073;53;40;1;1;1
15075;53;43;2;4;1
15075;53;76;2;1;1
15076;53;42;1;1;1
15076;53;39;2;4;1
15076;53;24;1;4;1
15076;53;20;1;1;1
15117;53;42;1;1;1
15117;53;32;2;1;1
15117;53;2;1;1;99999
15146;53;57;2;1;1
15148;53;76;1;4;1
15148;53;57;2;4;1
15148;53;24;2;1;1
15185;53;51;2;1;1
15185;53;20;1;1;1
15205;53;40;1;1;1
15205;53;37;2;2;1
15205;53;19;2;1;1
15205;53;13;2;2;99999
15205;53;12;1;1;99999
15207;53;33;2;3;1
15207;53;24;1;1;1
15207;53;0;1;3;99999
15233;53;38;1;4;2
15233;53;22;1;4;1
15233;53;2;1;1;99999
15233;53;15;1;4;99999
15234;53;33;1;2;1
15234;53;31;2;2;1
15234;53;2;1;2;99999
15242;53;37;2;1;1
15242;53;34;1;2;1
15242;53;11;2;1;99999
15242;53;8;2;1;99999
15242;53;6;2;1;99999
15261;53;65;2;1;1
15261;53;32;2;1;1
15261;53;12;2;1;99999
15261;53;10;1;4;99999
15261;53;1;1;1;99999
15296;53;75;1;2;1
15341;53;41;2;5;1
15341;53;25;2;1;1
15341;53;20;2;4;1
15341;53;71;2;4;1
15353;53;54;1;4;1
15353;53;52;2;4;1
