A01nficha;A01uf;idade_calculada;E03;E05;id_genero
2329;53;56;2;4;1
2329;53;63;1;1;1
2335;53;69;1;1;1
2335;53;62;2;4;1
2335;53;43;1;4;1
2347;53;68;2;4;1
2347;53;31;2;4;1
2347;53;27;2;1;1
2347;53;25;1;2;1
2347;53;1;1;1;99999
2349;53;30;2;4;1
2349;53;10;2;4;99999
2349;53;2;1;4;99999
2357;53;74;2;4;1
2357;53;75;1;1;1
2357;53;44;1;4;1
2357;53;41;2;1;1
2357;53;37;2;4;1
2357;53;9;1;1;99999
2357;53;6;1;1;99999
2405;53;57;2;1;1
2405;53;21;2;4;1
2430;53;63;2;4;1
2430;53;21;2;4;1
2430;53;22;1;4;1
2430;53;4;1;4;99999
2430;53;0;1;4;99999
2431;53;53;1;4;1
2431;53;43;2;1;1
2431;53;10;2;1;99999
2565;53;32;2;4;1
2565;53;32;1;4;1
2565;53;8;1;1;99999
2565;53;5;2;4;99999
2569;53;36;1;4;1
2569;53;45;2;4;1
2569;53;7;2;4;99999
2572;53;55;1;1;1
2572;53;54;2;1;1
2572;53;25;1;1;1
2572;53;21;2;1;1
2572;53;22;1;2;1
2617;53;38;2;1;1
2617;53;43;1;1;1
2630;53;51;2;1;1
2630;53;61;1;1;1
2630;53;23;1;1;1
2630;53;15;2;1;99999
2674;53;24;1;1;1
2674;53;27;2;1;1
2674;53;7;2;4;99999
2725;53;60;2;4;1
2725;53;44;2;1;1
2725;53;51;1;4;1
2725;53;6;2;4;99999
2729;53;52;2;4;1
2729;53;55;1;5;1
2729;53;21;1;5;1
2734;53;57;1;2;1
2734;53;53;2;2;1
2752;53;80;1;1;1
2752;53;79;2;1;1
2762;53;44;1;2;1
2762;53;38;2;1;1
2763;53;64;2;4;1
2807;53;40;2;2;1
2807;53;24;1;1;1
2807;53;18;1;4;1
2807;53;13;1;4;99999
2807;53;1;1;4;99999
2812;53;55;2;4;1
2812;53;28;1;1;1
2812;53;22;2;1;1
2812;53;23;2;1;1
2821;53;45;1;4;1
2828;53;23;2;4;1
2828;53;2;1;4;99999
2858;53;40;1;4;1
2868;53;26;2;4;1
2868;53;48;1;1;1
2868;53;62;2;2;1
2868;53;21;1;1;1
2869;53;62;1;5;1
2869;53;29;2;4;1
2882;53;53;2;1;1
2909;53;45;2;4;1
2909;53;45;1;4;1
2909;53;15;2;4;99999
2920;53;50;2;4;1
2920;53;27;2;1;1
2920;53;29;2;4;1
2920;53;5;2;4;99999
2923;53;45;2;4;1
2933;53;38;1;3;1
2933;53;33;2;1;1
2933;53;1;2;1;99999
2938;53;52;2;5;1
2938;53;59;1;1;1
2938;53;29;1;5;1
2939;53;19;2;4;1
2939;53;23;1;4;1
2943;53;53;2;2;1
2943;53;56;1;2;1
2952;53;53;1;4;1
2952;53;44;2;1;1
2952;53;12;2;4;99999
2958;53;89;2;1;1
2958;53;18;2;1;1
2970;53;56;2;1;1
3013;53;68;2;4;1
3026;53;59;1;4;1
3084;53;49;2;4;1
3084;53;25;1;4;1
3106;53;40;1;2;1
3145;53;65;1;1;1
3145;53;63;1;1;1
3159;53;48;1;2;1
3159;53;42;2;4;1
3159;53;42;1;1;1
3168;53;40;1;4;1
3177;53;49;1;1;1
3177;53;50;2;2;1
3177;53;12;1;4;99999
3287;53;51;2;4;1
3287;53;11;1;4;99999
3289;53;50;2;4;1
3289;53;51;1;4;1
3289;53;23;1;4;1
3289;53;21;1;4;1
3293;53;78;1;2;1
3314;53;26;1;4;1
3314;53;26;2;4;1
3328;53;65;2;2;1
3333;53;28;1;1;1
3333;53;27;2;1;1
3345;53;45;2;4;1
3360;53;72;1;1;1
3360;53;23;1;1;1
3394;53;33;2;1;1
3394;53;54;2;2;1
3394;53;5;1;4;99999
3396;53;48;1;4;1
3396;53;46;2;1;1
3396;53;9;2;4;99999
3399;53;46;2;4;1
3399;53;17;1;1;99999
3411;53;58;2;1;1
3411;53;34;2;1;1
3411;53;3;1;4;99999
3414;53;44;2;4;1
3414;53;46;1;4;1
3414;53;6;2;4;99999
3414;53;24;1;4;1
3419;53;57;2;4;1
3419;53;58;1;4;1
3419;53;38;1;4;1
3442;53;33;1;2;1
3442;53;36;2;2;1
3444;53;76;2;2;1
3444;53;53;1;2;1
3466;53;36;1;4;1
3466;53;30;2;4;1
3466;53;2;1;4;99999
3523;53;62;1;1;1
3523;53;48;2;4;1
3575;53;65;2;1;1
3575;53;67;1;1;1
3586;53;35;2;4;1
3594;53;48;2;4;1
3594;53;27;2;4;1
3594;53;26;1;4;1
3617;53;43;1;1;1
3617;53;44;2;1;1
3660;53;46;2;2;1
3660;53;41;1;4;1
3660;53;14;2;2;99999
3660;53;7;1;4;99999
3668;53;73;2;4;1
3668;53;28;1;4;1
3668;53;42;1;4;1
3684;53;42;1;1;1
3684;53;41;2;2;1
3684;53;18;2;1;1
3684;53;13;2;1;99999
3684;53;6;2;1;99999
3687;53;54;2;1;1
3687;53;23;1;1;1
3687;53;33;1;1;1
3687;53;14;1;2;99999
3689;53;65;2;4;1
3709;53;45;1;4;1
3709;53;84;2;4;1
3730;53;69;2;4;1
3730;53;76;1;1;1
3742;53;19;2;4;1
3742;53;73;1;1;1
3742;53;57;2;1;1
3742;53;15;1;4;99999
3753;53;51;1;4;1
3761;53;53;2;4;1
3761;53;60;1;4;1
3761;53;19;1;4;1
3819;53;48;1;4;1
3819;53;56;2;4;1
3828;53;31;2;1;1
3830;53;33;1;4;1
3839;53;40;2;4;1
3839;53;46;1;2;1
3839;53;19;1;4;1
3839;53;17;2;2;99999
3839;53;11;1;4;99999
3839;53;4;2;2;99999
3839;53;3;1;1;99999
3919;53;19;1;4;1
3919;53;43;2;4;1
3924;53;65;1;1;1
3924;53;95;1;1;1
3925;53;30;2;2;1
3925;53;4;1;4;99999
3925;53;6;2;4;99999
3925;53;11;1;4;99999
3933;53;76;2;1;1
3933;53;29;1;1;1
3959;53;53;2;2;1
3982;53;73;1;4;1
3982;53;70;2;4;1
3982;53;30;2;4;1
3982;53;27;1;4;1
3982;53;8;1;4;99999
3982;53;4;1;4;99999
3987;53;37;2;4;1
3987;53;5;1;4;99999
3988;53;33;1;4;1
3988;53;32;2;4;1
3988;53;11;2;4;99999
3988;53;4;1;4;99999
4000;53;42;1;1;1
4000;53;45;2;2;1
4000;53;11;2;4;99999
4000;53;7;1;4;99999
4024;53;56;1;4;1
4030;53;44;2;1;1
4079;53;68;2;1;1
4079;53;39;1;1;1
4085;53;52;2;2;1
4085;53;30;2;4;1
4085;53;28;1;4;1
4095;53;36;1;2;1
4095;53;29;2;1;1
4095;53;5;2;4;99999
4100;53;46;2;1;1
4100;53;51;1;1;1
4152;53;57;1;1;1
4152;53;51;2;1;1
4172;53;41;1;2;1
4172;53;29;2;2;1
4203;53;66;1;4;1
4213;53;48;1;1;1
4216;53;40;1;4;1
4216;53;33;2;4;1
4216;53;18;2;4;1
4216;53;16;2;4;99999
4216;53;8;1;4;99999
4216;53;2;1;4;99999
4276;53;61;1;4;1
4276;53;58;2;4;1
4282;53;72;1;1;1
4282;53;62;2;1;1
4346;53;43;1;1;1
4346;53;41;2;1;1
4346;53;9;2;1;99999
4346;53;6;1;1;99999
4394;53;53;2;4;1
4397;53;38;1;1;1
4397;53;44;2;4;1
4397;53;11;2;1;99999
4397;53;4;1;1;99999
4402;53;42;2;1;1
4402;53;40;1;4;1
4402;53;18;1;1;1
4402;53;11;1;1;99999
4405;53;50;2;1;1
4405;53;54;1;1;1
4406;53;59;2;1;1
4433;53;60;2;4;1
4433;53;23;2;4;1
4433;53;3;2;4;99999
4454;53;40;1;1;1
4454;53;26;2;1;1
4454;53;2;1;1;99999
4464;53;39;2;4;1
4464;53;39;1;4;1
4464;53;20;2;1;1
4464;53;4;2;1;99999
4479;53;86;2;4;1
4479;53;22;1;4;1
4514;53;48;2;1;1
4514;53;51;1;1;1
4514;53;67;2;1;1
4514;53;17;2;1;99999
4514;53;45;2;1;1
4515;53;68;2;1;1
4529;53;89;2;1;1
4529;53;66;1;1;1
4529;53;61;2;4;1
4544;53;53;2;4;1
4544;53;32;1;5;1
4549;53;55;2;4;1
4549;53;31;1;4;1
4563;53;64;2;1;1
4563;53;30;1;1;99999
4659;53;68;1;4;1
4659;53;64;2;4;1
4682;53;35;2;1;1
4694;53;36;1;1;1
4694;53;32;2;1;1
4694;53;10;1;1;99999
4694;53;8;1;1;99999
4694;53;5;1;1;99999
4694;53;2;1;1;99999
4707;53;47;1;4;1
4715;53;30;2;4;1
4715;53;13;1;1;99999
4715;53;4;1;4;99999
4716;53;49;1;1;1
4716;53;47;2;1;1
4716;53;18;2;1;1
4716;53;32;1;1;1
4725;53;60;2;4;1
4725;53;28;1;4;1
4763;53;39;1;1;1
4778;53;52;2;4;1
4778;53;19;1;4;1
4784;53;52;2;4;1
4784;53;59;1;4;1
4784;53;22;1;4;1
4784;53;17;1;4;99999
4790;53;55;1;1;1
4790;53;55;2;1;1
4790;53;19;2;1;1
4790;53;23;1;1;1
4821;53;72;2;4;1
4821;53;50;1;4;1
4821;53;13;2;1;99999
4821;53;13;2;2;99999
4877;53;28;1;4;1
4877;53;28;2;4;1
4877;53;3;1;4;99999
4877;53;1;1;4;99999
4883;53;26;2;4;1
4883;53;55;1;1;1
4912;53;53;1;4;1
4912;53;77;2;1;1
4919;53;36;2;2;1
4919;53;17;2;4;99999
4970;53;41;1;4;1
4970;53;33;2;4;1
4971;53;50;2;2;1
4996;53;53;2;1;1
4996;53;30;1;1;1
5024;53;49;1;2;1
5024;53;47;2;2;1
5024;53;13;2;2;99999
5039;53;64;2;4;1
5078;53;64;1;1;1
5078;53;25;1;1;1
5117;53;73;1;4;1
5231;53;34;2;4;1
5231;53;36;1;4;1
5231;53;24;2;4;1
5231;53;11;1;4;99999
5310;53;55;2;2;1
5310;53;23;1;4;1
5391;53;53;2;1;1
5391;53;24;1;1;1
5391;53;56;1;1;1
5415;53;59;1;4;1
5415;53;6;2;4;99999
5420;53;35;1;4;1
5420;53;65;2;4;1
5420;53;43;2;4;1
5426;53;22;1;1;1
5426;53;23;2;1;1
5426;53;25;2;4;1
5432;53;56;1;1;1
5459;53;48;2;1;1
5469;53;26;1;4;1
